fundo	parcela	lote	producto	dosis	volumen	area	toneladas
Mar Verde	PARCELA 25	L846	ACAPROX	3	2000	6.84	19.08926047
Mar Verde	PARCELA 25	L846	ACIDO FOSFORICO 85%	0.15025	2000	2.28	19.08926047
Mar Verde	PARCELA 25	L846	ALGASIL	1	1700	6.84	19.08926047
Mar Verde	PARCELA 25	L846	AMINOTERRA	3	800	2.28	19.08926047
Mar Verde	PARCELA 25	L846	ARGENFRUT	15.80666667	1800	2.93	19.08926047
Mar Verde	PARCELA 25	L846	BIOIL-S/ENHANCE	20	2000	2.28	19.08926047
Mar Verde	PARCELA 25	L846	BONUM	0.6	800	2.28	19.08926047
Mar Verde	PARCELA 25	L846	BTK-CROPS	4	2000	4.56	19.08926047
Mar Verde	PARCELA 25	L846	CALCI-B	3	800	2.28	19.08926047
Mar Verde	PARCELA 25	L846	CHUNGAR	1.581	1800	2.93	19.08926047
Mar Verde	PARCELA 25	L846	CITOBLOOM 2.4	1	800	1.95	19.08926047
Mar Verde	PARCELA 25	L846	CROPS CANELA	1.609761905	1923.809524	21.63	19.08926047
Mar Verde	PARCELA 25	L846	EMACTIN 5% SG	0.8	2000	2.28	19.08926047
Mar Verde	PARCELA 25	L846	ESENFOL CaB ZINC	3	900	2.28	19.08926047
Mar Verde	PARCELA 25	L846	FAST THRU	0.2638	1760	11.4	19.08926047
Mar Verde	PARCELA 25	L846	GF-120	1.59984	962.9896	16.54	19.08926047
Mar Verde	PARCELA 25	L846	GLADIADOR	2.186666667	1888.888889	9.77	19.08926047
Mar Verde	PARCELA 25	L846	HIPOCLORITO SODIO 5%	0.0747	1680	22.8	19.08926047
Mar Verde	PARCELA 25	L846	KELPURA	3	600	2.28	19.08926047
Mar Verde	PARCELA 25	L846	KEYLATE BORO	2	900	2.28	19.08926047
Mar Verde	PARCELA 25	L846	LICTHOR	4	100	6.84	19.08926047
Mar Verde	PARCELA 25	L846	MAXI COVER	0.205297297	1367.567568	41.04	19.08926047
Mar Verde	PARCELA 25	L846	MICROCAT ZINC	0.6	900	2.28	19.08926047
Mar Verde	PARCELA 25	L846	POTENSIL	2	2000	11.4	19.08926047
Mar Verde	PARCELA 25	L846	ROBUST 5 SC	3	600	2.28	19.08926047
Mar Verde	PARCELA 25	L846	ROXICOP	2	1000	2.28	19.08926047
Mar Verde	PARCELA 25	L846	SBQ	2.399833333	1200	6.84	19.08926047
Mar Verde	PARCELA 25	L846	STRICTO	1	100	2.28	19.08926047
Mar Verde	PARCELA 25	L846	TACHIGAREN	2	100	2.28	19.08926047
Mar Verde	PARCELA 25	L846	X-CYTE	1.20025	850	4.89	19.08926047
Mar Verde	PARCELA 25	L847	ACAPROX	3	2000	6.84	18.45841604
Mar Verde	PARCELA 25	L847	ACIDO FOSFORICO 85%	0.15025	2000	2.28	18.45841604
Mar Verde	PARCELA 25	L847	ALGASIL	1	1700	6.84	18.45841604
Mar Verde	PARCELA 25	L847	AMINOTERRA	3	800	2.28	18.45841604
Mar Verde	PARCELA 25	L847	ARGENFRUT	15.80666667	1800	2.93	18.45841604
Mar Verde	PARCELA 25	L847	BIOIL-S/ENHANCE	20	2000	2.28	18.45841604
Mar Verde	PARCELA 25	L847	BONUM	0.6	800	2.28	18.45841604
Mar Verde	PARCELA 25	L847	BTK-CROPS	4	2000	4.56	18.45841604
Mar Verde	PARCELA 25	L847	CALCI-B	3	800	2.28	18.45841604
Mar Verde	PARCELA 25	L847	CHUNGAR	1.581	1800	2.93	18.45841604
Mar Verde	PARCELA 25	L847	CITOBLOOM 2.4	1	800	1.95	18.45841604
Mar Verde	PARCELA 25	L847	CROPS CANELA	1.609761905	1923.809524	21.63	18.45841604
