Lote,Tn/Ha,Texto breve material,Rango
L846,19.1,"ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], CITOBLOOM 2.4 [CITOQUININA 2.4%], DINOTEFURAN [STRICTO], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], EXTR VEGETAL+ACIDO URONICO [LICTHOR], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRIPROXYFEN 10% [CHUNGAR], ROBUST 5 SC [UNICONAZOLE-P 5%], SBQ [COBR 25%+AZUFR 32%], SPINOSAD [GF-120], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L847,18.5,"ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], CITOBLOOM 2.4 [CITOQUININA 2.4%], DINOTEFURAN [STRICTO], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], EXTR VEGETAL+ACIDO URONICO [LICTHOR], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRIPROXYFEN 10% [CHUNGAR], ROBUST 5 SC [UNICONAZOLE-P 5%], SBQ [COBR 25%+AZUFR 32%], SPINOSAD [GF-120], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L848,17.6,"ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], CITOBLOOM 2.4 [CITOQUININA 2.4%], DINOTEFURAN [STRICTO], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], EXTR VEGETAL+ACIDO URONICO [LICTHOR], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRIPROXYFEN 10% [CHUNGAR], ROBUST 5 SC [UNICONAZOLE-P 5%], SBQ [COBR 25%+AZUFR 32%], SPINOSAD [GF-120], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L849,19.5,"ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], CITOBLOOM 2.4 [CITOQUININA 2.4%], DINOTEFURAN [STRICTO], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], EXTR VEGETAL+ACIDO URONICO [LICTHOR], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRIPROXYFEN 10% [CHUNGAR], ROBUST 5 SC [UNICONAZOLE-P 5%], SBQ [COBR 25%+AZUFR 32%], SPINOSAD [GF-120], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L850,18.6,"ABAMECTINA 1.8% CE [BAMECTIN], ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], CITOBLOOM 2.4 [CITOQUININA 2.4%], DINOTEFURAN [STRICTO], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], EXTR VEGETAL+ACIDO URONICO [LICTHOR], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRIPROXYFEN 10% [CHUNGAR], ROBUST 5 SC [UNICONAZOLE-P 5%], SBQ [COBR 25%+AZUFR 32%], SPINOSAD [GF-120], SULFOXAFLOR 24% [CLOSER 240 SC], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L851,20.7,"ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], CITOBLOOM 2.4 [CITOQUININA 2.4%], DINOTEFURAN [STRICTO], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], EXTR VEGETAL+ACIDO URONICO [LICTHOR], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRIPROXYFEN 10% [CHUNGAR], ROBUST 5 SC [UNICONAZOLE-P 5%], SBQ [COBR 25%+AZUFR 32%], SPINOSAD [GF-120], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L852,17.0,"ABAMECTINA 1.8% CE [BAMECTIN], ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], ETOXAZOL 11% [ACARISIL 110 SC], EXTR VEGETAL+ACIDO URONICO [LICTHOR], FLUDIOXONIL+CIPRODINIL [CYFLUNIL], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRACLOSTROBIN 25% [DOGMA], PYRIPROXYFEN 10% [CHUNGAR], PYRIPROXYFEN 10% [EPINGLE 10 EC], ROBUST 5 SC [UNICONAZOLE-P 5%], SPINOSAD [GF-120], SULFOXAFLOR 24% [CLOSER 240 SC], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L853,19.3,"ABAMECTINA 1.8% CE [BAMECTIN], ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], ETOXAZOL 11% [ACARISIL 110 SC], EXTR VEGETAL+ACIDO URONICO [LICTHOR], FLUDIOXONIL+CIPRODINIL [CYFLUNIL], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRACLOSTROBIN 25% [DOGMA], PYRIPROXYFEN 10% [CHUNGAR], PYRIPROXYFEN 10% [EPINGLE 10 EC], ROBUST 5 SC [UNICONAZOLE-P 5%], SPINOSAD [GF-120], SULFOXAFLOR 24% [CLOSER 240 SC], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L854,16.3,"ABAMECTINA 1.8% CE [BAMECTIN], ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], ETOXAZOL 11% [ACARISIL 110 SC], EXTR VEGETAL+ACIDO URONICO [LICTHOR], FLUDIOXONIL+CIPRODINIL [CYFLUNIL], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRACLOSTROBIN 25% [DOGMA], PYRIPROXYFEN 10% [CHUNGAR], PYRIPROXYFEN 10% [EPINGLE 10 EC], ROBUST 5 SC [UNICONAZOLE-P 5%], SPINOSAD [GF-120], SULFOXAFLOR 24% [CLOSER 240 SC], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
L855,15.7,"ABAMECTINA 1.8% CE [BAMECTIN], ACAPROX [CaO 8% + SIO2 5%], ACEITE DE CANELA 20% [CROPS CANELA], ACEITE DE PESCADO [BIOIL-S/ENHANCE], ACEITE MINERAL [ARGENFRUT SUPREME GREEN], ACETAMIPRID 20% [GLADIADOR], ACIDO FOSFORICO 85%, ALGAEX-AGRO PREMIUM+SILICIO [ALG MARINA], ALGASIL [SIO2 21% + K2O 9%], AMINOTERRA [AMIN 14%+MAT ORG 15%], BACILLUS THURING KURST [BTK-CROPS], CALCI-B [CA 12%+B 1%+ N 8.8%], CITOBLOOM 2.4 [CITOQUININA 2.4%], EMAMECTIN BENZOATO [EMACTIN 5% SG], ESENFOL CaB ZINC [CA 14%+B 1.4%+ ZN 2%], ETOXAZOL 11% [ACARISIL 110 SC], EXTR VEGETAL+ACIDO URONICO [LICTHOR], FLUDIOXONIL+CIPRODINIL [CYFLUNIL], HIPOCLORITO SODIO 5%, HYMEXAZOL [TACHIGAREN], KELPURA [ECKLONIA MAXIMA 6.5%], KEYLATE BORO [BORO 9% P/P], MICROCAT ZINC [AMIN 2.5% + ZN 10%], OXICLORURO DE COBRE [ROXICOP], POLIMETILSILOXANO [MAXI COVER], POTENSIL [POLIMERO DE SILICIO 80%], PYRACLOSTROBIN 25% [DOGMA], PYRIPROXYFEN 10% [CHUNGAR], PYRIPROXYFEN 10% [EPINGLE 10 EC], ROBUST 5 SC [UNICONAZOLE-P 5%], SPINOSAD [GF-120], SULFOXAFLOR 24% [CLOSER 240 SC], THIABENDAZOLE 50% [BONUM], TRISILOXANE ETHOXILATE [FAST THRU], X-CYTE [CITOQUININA 0.04%]",15 a 20
